conceptId,name,description,conceptTypeName,rootConceptId,rootConceptName,partOfConceptId,partOfName,partOrder,referenceToConceptId,referenceToName
,Network Engineer,"Category: Human Resource. Type: Internal/External. An individual who builds, configures, or maintains network infrastructure.",Stakeholder,,,,,,,
,Network Planner,Category: Human Resource. Type: Internal/External. An individual who plans new or upgraded network infrastructure.,Stakeholder,,,,,,,
,Operations Manager,"Category: Human Resource. Type: Internal/External. An individual responsible for staffing, training, monitoring existing processes, analyzing the effectiveness of current processes, and creating strategies to improve productivity and efficiency.",Stakeholder,,,,,,,
,Paralegal,Category: Human Resource. Type: Internal/External. An individual trained in subsidiary legal matters but not fully qualified as a legal counsel.,Stakeholder,,,,,,,
,Parent,"Category: Constituent. Type: External. An individual who has a biologically or court appointment responsibility over a minor child's sustenance, housing, support, and overall well-being.",Stakeholder,,,,,,,
,Partner,"Category: Partner. Type: External. An individual or organization who has, or had, an agreement with the organization for the provision of goods or services.",Stakeholder,,,,,,,
,Partner Relationship Manager,"Category: Human Resource, Partner. Type: External, Internal. An individual who is responsible for coordinating, interacting with, evaluating, overseeing, and otherwise engaging with a partner on behalf of the organization.",Stakeholder,,,,,,,
,Permitting Agent,"Category: Human Resource. Type: Internal. An individual who has been employed and authorized with the handling, processing, and approval or denial of a permit.",Stakeholder,,,,,,,
,Plaintiff,Category: Constituent. Type: External. An individual who initiates a lawsuit before a court.,Stakeholder,,,,,,,
,Planner,Category: Human Resource. Type: Internal/External. An individual who defines a schedule for a program or operation.,Stakeholder,,,,,,,
,Police Officer,"Category: Human Resource. Type: Internal. An individual empowered by a government authority to enforce the law, ensure the safety, health, and possessions of citizens, and prevent crime and civil disorder.",Stakeholder,,,,,,,
,Policy Analyst,"Category: Human Resource. Type: Internal. An individual tasked with understanding the evidence and public policy environment and reporting on current public policies, or recommending adjustments to existing public policies.",Stakeholder,,,,,,,
,Poll Clerk,Category: Human Resource. Type: Internal. An individual responsible for administration and collection of votes for a specified location.,Stakeholder,,,,,,,
,Prison Officer,"Category: Human Resource. Type: Internal/External. An individual who is a uniformed official responsible for the custody, supervision, safety, and regulation of prisoners.",Stakeholder,,,,,,,
,Procurement Manager,Category: Human Resource. Type: Internal/External. An individual authorized to commit organization funds for purchase requests.,Stakeholder,,,,,,,
,Procurer,"Category: Human Resource. Type: Internal/External. An individual who directs, mentors, evaluates, and assigns asset acquisition-related work to other individuals in the organization.",Stakeholder,,,,,,,
,Product Assembler,Category: Human Resource. Type: Internal/External. An individual who fits together separate component parts to form an object.,Stakeholder,,,,,,,
,Product Manager,"Category: Human Resource. Type: Internal/External. An individual who conceives, defines, determines, and oversees creation and distribution of a product or service on behalf of the organization.",Stakeholder,,,,,,,
,Product Packager,Category: Human Resource. Type: Internal/External. An individual who assembles a product with related components or products to create a deliverable.,Stakeholder,,,,,,,
,Product Specialist,Category: Human Resource. Type: Internal/External. A Product Specialist is a person who possesses deep knowledge of a product or product line and can determine appropriateness for an individual constituent.,Stakeholder,,,,,,,
,Program Manager,"Category: Human Resource. Type: Internal/External. An individual who creates, plans, oversees, and evaluates one or more projects in support of a general business goal.",Stakeholder,,,,,,,
,Program Team Member,Category: Human Resource. Type: Internal/External. An individual who assists the program manager.,Stakeholder,,,,,,,
,Project Manager,Category: Human Resource. Type: Internal/External. An individual who has overall responsibility for the planning and execution of a particular project.,Stakeholder,,,,,,,
,Proxy,"Category: Constituent. Type: External. An individual or entity who has been granted the authority to act temporarily in place of another individual or entity, in matters such as applying for a government service, voting, and decision making.",Stakeholder,,,,,,,
,Recruiter,Category: Human Resource. Type: Internal/External. An individual who identifies and obtains employees.,Stakeholder,,,,,,,
,Registered Representative,Category: Human Resource. Type: Internal/External. An individual who is a financial professional who works with clients who are trading investments such as stocks and bonds.,Stakeholder,,,,,,,
,Regulator,"Category: Human Resource. Type: Internal. An individual or organization that supervises a particular industry, government function, or business activity that must demonstrate compliance with governing rules.",Stakeholder,,,,,,,
,Regulatory Auditor,"Category: Human Resource. Type: Internal/External. An individual who has the responsibility to verify that a particular industry, government function, or business activity is conducting its activities in compliance with specified governing rules.",Stakeholder,,,,,,,
,Request Evaluator,"Category: Human Resource. Type: Internal/External. An individual who assesses the data completeness, data accuracy, justification of need, and funding authorization for a request.",Stakeholder,,,,,,,
,Requester,"Category: Constituent, Human Resource. Type: External, Internal. An individual who, on their own behalf or on behalf of others, makes a request for a good or service.",Stakeholder,,,,,,,
,Research Agency,"Category: Human Resource. Type: Internal/External. An organization responsible for obtaining, analyzing, interpreting, and presenting data and information related to a field of inquiry.",Stakeholder,,,,,,,
,Researcher,"Category: Human Resource. Type: Internal/External. An individual responsible for obtaining, analyzing, interpreting, and presenting data and information related to a field of inquiry.",Stakeholder,,,,,,,
,Risk Manager,"Category: Human Resource. Type: Internal. An individual who assesses and mitigates danger, damage, or loss to the business.",Stakeholder,,,,,,,
,Risk Officer,"Category: Human Resource. Type: Internal/External. An individual responsible for defining and assessing financial, reputational, legal, market, or other kinds of risk that the organization may undertake.",Stakeholder,,,,,,,
,Security Officer,Category: Human Resource. Type: Internal/External. An individual responsible for the protection and safeguarding of assets or people from loss or damage.,Stakeholder,,,,,,,
,Security Service Provider,Category: Human Resource. Type: Internal/External. An individual or organization that provides civil peace keeping and protection services.,Stakeholder,,,,,,,
,Service (Product) Manager,Category: Human Resource. Type: Internal. An individual responsible for the development of one or more services or products for an organization.,Stakeholder,,,,,,,
,Service Advisor,"Category: Human Resource. Type: Internal/External. An individual representing an organization who interacts with constituents to handle complaints, process orders, and provide information about an organization’s products and services.",Stakeholder,,,,,,,
,Service Officer,Category: Human Resource. Type: Internal/External. An individual representing an organization who is authorized to make decisions such as to resolve a complaint or approve an application.,Stakeholder,,,,,,,
,Service Representative,Category: Human Resource. Type: Internal/External. An individual chosen or appointed to act or speak for another or others in the context of a specific service.,Stakeholder,,,,,,,
,Sponsoring Team Member,Category: Human Resource. Type: Internal/External. An individual who represents and works on behalf of a sponsor.,Stakeholder,,,,,,,
,Stock Exchange Broker,Category: Human Resource. Type: Internal/External. An individual who executes orders in a financial market on behalf of clients.,Stakeholder,,,,,,,
,Strategy Leader,"Category: Human Resource. Type: Internal/External. An individual who oversees business strategy initiation, development, monitoring, and approval.",Stakeholder,,,,,,,
,Student,"Category: Constituent. Type: External. An individual who attends school or a training program, with the goal of learning about and understanding a given subject.",Stakeholder,,,,,,,
,Subject Matter Expert,"Category: Human Resource. Type: Internal. An individual whose knowledge and ability in a specific subject has been validated and recognized, usually by past performance, certification, or education.",Stakeholder,,,,,,,
,Supplier,Category: Partner. Type: External. An individual or organization that provides goods or services to the organization.,Stakeholder,,,,,,,
,Surveyor,"Category: Human Resource. Type: Internal/External. An individual responsible for the collection of data for the purpose of inspection, spatial measurement, and quantification of materials and structures to support valuation or construction planning.",Stakeholder,,,,,,,
,Tax Collector,"Category: Human Resource. Type: Internal. An individual who is responsible for invoicing, tracking, and collecting taxes from constituent.",Stakeholder,,,,,,,
,Technology Manager,"Category: Human Resource. Type: Internal. An individual responsible for obtaining, developing, deploying, and operating automation.",Stakeholder,,,,,,,
,Tenant,Category: Constituent. Type: External. An individual or organization that has an agreement-based right to occupy or use a piece of land or the property on the land.,Stakeholder,,,,,,,
,Tester,Category: Human Resource. Type: Internal/External. An individual who subjects a product or service to an assessment of suitability or worth.,Stakeholder,,,,,,,
,Trader,Category: Constituent. Type: External. An individual involved in initiating and managing financial positions by purchasing and selling financial assets and has a mandate to enter into financial agreements on behalf of the organization.,Stakeholder,,,,,,,
,Trainer/Teacher,Category: Human Resource. Type: Internal/External. An individual who has the responsibility to guide or instruct others.,Stakeholder,,,,,,,
,Training Program Manager,Category: Human Resource. Type: Internal/External. An individual who oversees and approves training programs.,Stakeholder,,,,,,,
,Training Recipient,Category: Human Resource. Type: Internal/External. An individual who participates in a training course.,Stakeholder,,,,,,,
,Training Team Member,Category: Human Resource. Type: Internal/External. An individual who provides instruction to employees.,Stakeholder,,,,,,,
,Transport Agency,Category: Human Resource. Type: Internal. A public authority which regulates or administers transportation related matters.,Stakeholder,,,,,,,
,Transport Operations Service Provider,Category: Partner. Type: External. An organization that operates transport services.,Stakeholder,,,,,,,
,Treasurer,"Category: Human Resource. Type: Internal. A person appointed or elected to administer or manage the financial assets and liabilities of a government agency, organization, or other body.",Stakeholder,,,,,,,
,Trust Bank (Custodian),"Category: Partner. Type: External. A Trust Bank (Custodian) is a legal entity that acts as a fiduciary, agent, or trustee on behalf of a person or business entity for the purpose of administration, management, and the eventual transfer of assets to a beneficial party.",Stakeholder,,,,,,,
,Underwriter,"Category: Human Resource. Type: Internal/External. An individual who defines risk appetite by product, qualifies risks for acceptance or denial, and manages risks.",Stakeholder,,,,,,,
,Valuer,"Category: Human Resource. Type: Internal. An individual whose knowledge and ability has been validated and recognized to assess, appraise, or provide an educated opinion as to the market value of an item, e.g., property or another type of asset.",Stakeholder,,,,,,,
,Vote Counter,Category: Human Resource. Type: Internal. An individual responsible for the enumeration of voter indication of choice in an election.,Stakeholder,,,,,,,
,Voter,Category: Constituent. Type: External. An individual who gives a formal indication of choice in an election.,Stakeholder,,,,,,,
,Witness,Category: Constituent. Type: External. An individual who observed but was not involved in the incident.,Stakeholder,,,,,,,
